editor_name,base_form,path_website,name_nif
LoadScreenDSRitual01,00000DE9,loadscreenart/loadscreendsritual01.nif,loadscreendsritual01
LoadScreenMRaltar01,00000E87,loadscreenart/loadscreenmraltar01.nif,loadscreenmraltar01
GenKitHallSm3way01,00013059,dungeons/genkit/genkithallsm3way01.nif,genkithallsm3way01
GenKitHallSm4way01,0001305A,dungeons/genkit/genkithallsm4way01.nif,genkithallsm4way01
GenKitRmCorIn01,0001305B,dungeons/genkit/genkitrmcorin01.nif,genkitrmcorin01
GenKitRmCorInExSmL01,0001305C,dungeons/genkit/genkitrmcorinexsml01.nif,genkitrmcorinexsml01
GenKitRmCorInExSmR01,0001305D,dungeons/genkit/genkitrmcorinexsmr01.nif,genkitrmcorinexsmr01
GenKitRmCorOut01,0001305E,dungeons/genkit/genkitrmcorout01.nif,genkitrmcorout01
GenKitRmMid01,0001305F,dungeons/genkit/genkitrmmid01.nif,genkitrmmid01
GenKitRmWall01,00013060,dungeons/genkit/genkitrmwall01.nif,genkitrmwall01
GenKitRmWallExSm01,00013061,dungeons/genkit/genkitrmwallexsm01.nif,genkitrmwallexsm01
GenKitHallSm1way01,00013062,dungeons/genkit/genkithallsm1way01.nif,genkithallsm1way01
GenKitHallSm1wayExSm01,00013063,dungeons/genkit/genkithallsm1wayexsm01.nif,genkithallsm1wayexsm01
GenKitHallSm1wayExSmDbl01,00013064,dungeons/genkit/genkithallsm1wayexsmdbl01.nif,genkithallsm1wayexsmdbl01
GenKitHallSm1wayExSmEnd01,00013065,dungeons/genkit/genkithallsm1wayexsmend01.nif,genkithallsm1wayexsmend01
GenKitHallSm2way01,00013066,dungeons/genkit/genkithallsm2way01.nif,genkithallsm2way01
Farmhouse03,0001307A,architecture/farmhouse/farmhouse03.nif,farmhouse03
Farmhouse04,0001307B,architecture/farmhouse/farmhouse04.nif,farmhouse04
GenKitHallSm1wayStair256,000130BD,dungeons/genkit/genkithallsm1waystair256.nif,genkithallsm1waystair256
GenKitRmStairWallL384,000130BE,dungeons/genkit/genkitrmstairwalll384.nif,genkitrmstairwalll384
GenKitRmStairMid384,000130BF,dungeons/genkit/genkitrmstairmid384.nif,genkitrmstairmid384
GenKitRmStairWallR384,000130C0,dungeons/genkit/genkitrmstairwallr384.nif,genkitrmstairwallr384
GenKitHallSm1wayStair128,000130C1,dungeons/genkit/genkithallsm1waystair128.nif,genkithallsm1waystair128
TreePineForestLog01,00013250,landscape/trees/treepineforestlog01.nif,treepineforestlog01
TreePineForestStump01,00013251,landscape/trees/treepineforeststump01.nif,treepineforeststump01
NorHallSm2way01,000132FC,dungeons/nordic/smhalls/norhallsm2way01.nif,norhallsm2way01
NorHallSm1way01,000132FD,dungeons/nordic/smhalls/norhallsm1way01.nif,norhallsm1way01
DirtCliffs01,00013303,landscape/dirtcliffs/dirtcliffs01.nif,dirtcliffs01
ImpLRoomDoorL01,0001344D,dungeons/imperial/largeroom/implroomdoorl01.nif,implroomdoorl01
ImpLRoomDoorL03,000134A6,dungeons/imperial/largeroom/implroomdoorl03.nif,implroomdoorl03
ImpLRoomDoorL04,000134A7,dungeons/imperial/largeroom/implroomdoorl04.nif,implroomdoorl04
ImpLRoomDoorL02,000134A8,dungeons/imperial/largeroom/implroomdoorl02.nif,implroomdoorl02
DirtCliffs02,000135E2,landscape/dirtcliffs/dirtcliffs02.nif,dirtcliffs02
TreePineForestLog02,000136E8,landscape/trees/treepineforestlog02.nif,treepineforestlog02
TreePineForestStump02A,00013800,landscape/trees/treepineforeststump02a.nif,treepineforeststump02a
TreePineForestStump02B,00013801,landscape/trees/treepineforeststump02b.nif,treepineforeststump02b
NorHallSm1wayEndExSm01,00013815,dungeons/nordic/smhalls/norhallsm1wayendexsm01.nif,norhallsm1wayendexsm01
NorHallSm2way02,00013816,dungeons/nordic/smhalls/norhallsm2way02.nif,norhallsm2way02
NorHallSm3way01,00013817,dungeons/nordic/smhalls/norhallsm3way01.nif,norhallsm3way01
NorHallSm4way01,0001381D,dungeons/nordic/smhalls/norhallsm4way01.nif,norhallsm4way01
NorHallSm1wayEndCap01,0001384C,dungeons/nordic/smhalls/norhallsm1wayendcap01.nif,norhallsm1wayendcap01
NorHallSm1wayExSmDbl01,0001384D,dungeons/nordic/smhalls/norhallsm1wayexsmdbl01.nif,norhallsm1wayexsmdbl01
NorHallSm1wayExSm01,0001384E,dungeons/nordic/smhalls/norhallsm1wayexsm01.nif,norhallsm1wayexsm01
NorHallSm1wayStairs128,0001384F,dungeons/nordic/smhalls/norhallsm1waystairs128.nif,norhallsm1waystairs128
DragonMarker,000138C0,markers/marker_dragonlanding.nif,marker_dragonlanding
NorHallBg1way01,000138C1,dungeons/nordic/bghalls/norhallbg1way01.nif,norhallbg1way01
DirtCliffsIsland01,00013974,landscape/dirtcliffs/dirtcliffsisland01.nif,dirtcliffsisland01
DirtCliffsCornerIn01,00013976,landscape/dirtcliffs/dirtcliffscornerin01.nif,dirtcliffscornerin01
DirtCliffsCornerOut01,00013A5B,landscape/dirtcliffs/dirtcliffscornerout01.nif,dirtcliffscornerout01
NorHallBg2way01,00013AFB,dungeons/nordic/bghalls/norhallbg2way01.nif,norhallbg2way01
NorHallBg3way01,00013B07,dungeons/nordic/bghalls/norhallbg3way01.nif,norhallbg3way01
NorHallBg4way01,00013B08,dungeons/nordic/bghalls/norhallbg4way01.nif,norhallbg4way01
TreePineForestUprooted01,00013B33,landscape/trees/treepineforestuprooted01.nif,treepineforestuprooted01
NorHallBg1wayStairs256,00013BEF,dungeons/nordic/bghalls/norhallbg1waystairs256.nif,norhallbg1waystairs256
NorHallBg1wayEndExSm01,00013BF0,dungeons/nordic/bghalls/norhallbg1wayendexsm01.nif,norhallbg1wayendexsm01
NorHallBg1wayEndCap01,00013BF1,dungeons/nordic/bghalls/norhallbg1wayendcap01.nif,norhallbg1wayendcap01
NorHallBg1wayExSmDbl01,00013BF2,dungeons/nordic/bghalls/norhallbg1wayexsmdbl01.nif,norhallbg1wayexsmdbl01
NorHallBg1wayExSm01,00013BF3,dungeons/nordic/bghalls/norhallbg1wayexsm01.nif,norhallbg1wayexsm01
NorHallExSmExtension01,00013BFC,dungeons/nordic/bghalls/norhallexsmextension01.nif,norhallexsmextension01
NorHallSm3wayExSm01,00013C45,dungeons/nordic/smhalls/norhallsm3wayexsm01.nif,norhallsm3wayexsm01
FarmIntWall01,00013C76,architecture/farmhouse/interior/farmintwall01.nif,farmintwall01
FarmIntEnd01,00013C7E,architecture/farmhouse/interior/farmintend01.nif,farmintend01
FarmIntDoorway01,00013E87,architecture/farmhouse/interior/farmintdoorway01.nif,farmintdoorway01
1stPersonSteelDagger,00013EB7,weapons/steel/1stpersonsteeldagger.nif,1stpersonsteeldagger
TestHDRBox02,00013F46,test/testhdrbrightrange01.nif,testhdrbrightrange01
NorRmSmAlcove01,00013F7B,dungeons/nordic/smrooms/norrmsmalcove01.nif,norrmsmalcove01
NorRmSmCorIn01,00013F7C,dungeons/nordic/smrooms/norrmsmcorin01.nif,norrmsmcorin01
NorRmSmCorInExSmL01,00013F7D,dungeons/nordic/smrooms/norrmsmcorinexsml01.nif,norrmsmcorinexsml01
NorRmSmCorInExSmR01,00013F7E,dungeons/nordic/smrooms/norrmsmcorinexsmr01.nif,norrmsmcorinexsmr01
NorRmSmCorOutL01,00013F7F,dungeons/nordic/smrooms/norrmsmcoroutl01.nif,norrmsmcoroutl01
NorRmSmCorOutR01,00013F80,dungeons/nordic/smrooms/norrmsmcoroutr01.nif,norrmsmcoroutr01
NorRmSmMid01,00013F81,dungeons/nordic/smrooms/norrmsmmid01.nif,norrmsmmid01
NorRmSmWallFront01,00013F82,dungeons/nordic/smrooms/norrmsmwallfront01.nif,norrmsmwallfront01
NorRmSmWallFront02,00013F83,dungeons/nordic/smrooms/norrmsmwallfront02.nif,norrmsmwallfront02
NorRmSmWallFrontExSm01,00013F84,dungeons/nordic/smrooms/norrmsmwallfrontexsm01.nif,norrmsmwallfrontexsm01
NorRmSmWallFrontWin01,00013F85,dungeons/nordic/smrooms/norrmsmwallfrontwin01.nif,norrmsmwallfrontwin01
NorRmSmWallSide01,00013F86,dungeons/nordic/smrooms/norrmsmwallside01.nif,norrmsmwallside01
NorRmSmWallSide02,00013F87,dungeons/nordic/smrooms/norrmsmwallside02.nif,norrmsmwallside02
NorRmSmWallSideExSm01,00013F88,dungeons/nordic/smrooms/norrmsmwallsideexsm01.nif,norrmsmwallsideexsm01
NorRmSmWallSideWin01,00013F89,dungeons/nordic/smrooms/norrmsmwallsidewin01.nif,norrmsmwallsidewin01
NorRmSmCorInExSmDbl01,00013F9C,dungeons/nordic/smrooms/norrmsmcorinexsmdbl01.nif,norrmsmcorinexsmdbl01
NorHallSm1wayStairs128ExSm01,00013FAF,dungeons/nordic/smhalls/norhallsm1waystairs128exsm01.nif,norhallsm1waystairs128exsm01
NorHallSm1wayStairs128ExSm02,00013FB0,dungeons/nordic/smhalls/norhallsm1waystairs128exsm02.nif,norhallsm1waystairs128exsm02
NorRmSmMid02,00013FD1,dungeons/nordic/smrooms/norrmsmmid02.nif,norrmsmmid02
TreePineForestHollow01,00014055,landscape/trees/treepineforesthollow01.nif,treepineforesthollow01
1stPersonSteelSword,000140EF,weapons/steel/1stpersonsteelsword.nif,1stpersonsteelsword
NorPitMid01,0001419E,dungeons/nordic/pits/norpitmid01.nif,norpitmid01
NorPitWallFront01,0001419F,dungeons/nordic/pits/norpitwallfront01.nif,norpitwallfront01
NorPitWallFront02,000141A0,dungeons/nordic/pits/norpitwallfront02.nif,norpitwallfront02
NorPitWallSide01,000141A1,dungeons/nordic/pits/norpitwallside01.nif,norpitwallside01
NorPitWallSide02,000141A2,dungeons/nordic/pits/norpitwallside02.nif,norpitwallside02
NorPitCorInL01,000141A3,dungeons/nordic/pits/norpitcorinl01.nif,norpitcorinl01
NorPitCorInR01,000141A4,dungeons/nordic/pits/norpitcorinr01.nif,norpitcorinr01
1stPersonSteelMace,00014305,weapons/steel/1stpersonsteelmace.nif,1stpersonsteelmace
DweFarm01Int,00014444,dungeons/dwemer/clutter/dwefarm01int.nif,dwefarm01int
DweFarm02Int,0001446D,dungeons/dwemer/clutter/dwefarm02int.nif,dwefarm02int
TreePineForestCutStump01,000145C4,landscape/trees/treepineforestcutstump01.nif,treepineforestcutstump01
CaveIShaftRDoorL04,000153C5,dungeons/caves/ice/shaftrock/caveishaftrdoorl04.nif,caveishaftrdoorl04
CaveIShaftRDoorLB01,000153C6,dungeons/caves/ice/shaftrock/caveishaftrdoorlb01.nif,caveishaftrdoorlb01
CaveIShaftRDoorLB02,000153C7,dungeons/caves/ice/shaftrock/caveishaftrdoorlb02.nif,caveishaftrdoorlb02
HighPolyBasicBook03,000153D4,clutter/books/book02/character assets/book03.nif,book03
CaveIShaftRDoorLB03,000153D5,dungeons/caves/ice/shaftrock/caveishaftrdoorlb03.nif,caveishaftrdoorlb03
CaveIShaftRDoorLB04,000153D7,dungeons/caves/ice/shaftrock/caveishaftrdoorlb04.nif,caveishaftrdoorlb04
CaveIShaftRStraight01,000153D8,dungeons/caves/ice/shaftrock/caveishaftrstraight01.nif,caveishaftrstraight01
CaveIShaftRTop01,000153D9,dungeons/caves/ice/shaftrock/caveishaftrtop01.nif,caveishaftrtop01
CaveIShaftRTop01c,000153DA,dungeons/caves/ice/shaftrock/caveishaftrtop01c.nif,caveishaftrtop01c
CaveIShaftRWall01,000153DB,dungeons/caves/ice/shaftrock/caveishaftrwall01.nif,caveishaftrwall01
CaveIShaftRWall02,000153DC,dungeons/caves/ice/shaftrock/caveishaftrwall02.nif,caveishaftrwall02
CaveIShaftRWall03,000153DD,dungeons/caves/ice/shaftrock/caveishaftrwall03.nif,caveishaftrwall03
CaveIShaftRWall04,000153DE,dungeons/caves/ice/shaftrock/caveishaftrwall04.nif,caveishaftrwall04
CaveIShaftRBottom01,000153DF,dungeons/caves/ice/shaftrock/caveishaftrbottom01.nif,caveishaftrbottom01
CaveIShaftRDoor01,000153E0,dungeons/caves/ice/shaftrock/caveishaftrdoor01.nif,caveishaftrdoor01
CaveIShaftRDoor02,000153E1,dungeons/caves/ice/shaftrock/caveishaftrdoor02.nif,caveishaftrdoor02
CaveIShaftRDoor03,000153E3,dungeons/caves/ice/shaftrock/caveishaftrdoor03.nif,caveishaftrdoor03
CaveIShaftRDoor04,000153E4,dungeons/caves/ice/shaftrock/caveishaftrdoor04.nif,caveishaftrdoor04
CaveIShaftRDoorB01,000153E5,dungeons/caves/ice/shaftrock/caveishaftrdoorb01.nif,caveishaftrdoorb01
CaveIShaftRDoorB02,000153E6,dungeons/caves/ice/shaftrock/caveishaftrdoorb02.nif,caveishaftrdoorb02
CaveIShaftRDoorB03,000153E7,dungeons/caves/ice/shaftrock/caveishaftrdoorb03.nif,caveishaftrdoorb03
CaveIShaftRDoorB04,000153E8,dungeons/caves/ice/shaftrock/caveishaftrdoorb04.nif,caveishaftrdoorb04
CaveIShaftRDoorL01,000153E9,dungeons/caves/ice/shaftrock/caveishaftrdoorl01.nif,caveishaftrdoorl01
CaveIShaftRDoorL02,000153EA,dungeons/caves/ice/shaftrock/caveishaftrdoorl02.nif,caveishaftrdoorl02
CaveIShaftRDoorL03,000153EB,dungeons/caves/ice/shaftrock/caveishaftrdoorl03.nif,caveishaftrdoorl03
HighPolyBasicBook04,000153F0,clutter/books/book02/character assets/book04.nif,book04
HighPolyBasicBook04a,000153F1,clutter/books/book02/character assets/book04a.nif,book04a
HighPolyBasicBook05,000153F4,clutter/books/book02/character assets/book05.nif,book05
HighPolyBasicBook05a,000153F5,clutter/books/book02/character assets/book05a.nif,book05a
HighPolyBasicBook03a,000153F8,clutter/books/book02/character assets/book03a.nif,book03a
HighPolyBasicBook06,000153F9,clutter/books/book02/character assets/book06.nif,book06
HighPolyBasicBook06a,00015406,clutter/books/book02/character assets/book06a.nif,book06a
CaveGDirtMound04,00015407,dungeons/caves/green/dirtmound/cavegdirtmound04.nif,cavegdirtmound04
CaveGDirtMound05,00015409,dungeons/caves/green/dirtmound/cavegdirtmound05.nif,cavegdirtmound05
CaveGDirtMound06,0001540B,dungeons/caves/green/dirtmound/cavegdirtmound06.nif,cavegdirtmound06
CaveGDirtMound07,0001540C,dungeons/caves/green/dirtmound/cavegdirtmound07.nif,cavegdirtmound07
CaveGDirtMound08,0001540D,dungeons/caves/green/dirtmound/cavegdirtmound08.nif,cavegdirtmound08
CaveGDirtMound01,0001540E,dungeons/caves/green/dirtmound/cavegdirtmound01.nif,cavegdirtmound01
CaveGDirtMound02,0001540F,dungeons/caves/green/dirtmound/cavegdirtmound02.nif,cavegdirtmound02
CaveGDirtMound03,00015410,dungeons/caves/green/dirtmound/cavegdirtmound03.nif,cavegdirtmound03
CaveIDirtMound02,00015411,dungeons/caves/ice/dirtmound/caveidirtmound02.nif,caveidirtmound02
CaveIDirtMound03,00015412,dungeons/caves/ice/dirtmound/caveidirtmound03.nif,caveidirtmound03
CaveIDirtMound04,00015413,dungeons/caves/ice/dirtmound/caveidirtmound04.nif,caveidirtmound04
CaveIDirtMound05,00015414,dungeons/caves/ice/dirtmound/caveidirtmound05.nif,caveidirtmound05
CaveIDirtMound06,00015415,dungeons/caves/ice/dirtmound/caveidirtmound06.nif,caveidirtmound06
CaveIDirtMound07,00015416,dungeons/caves/ice/dirtmound/caveidirtmound07.nif,caveidirtmound07
HighPolyBasicBook07,00015417,clutter/books/book02/character assets/book07.nif,book07
HighPolyBasicBook07a,00015418,clutter/books/book02/character assets/book07a.nif,book07a
HighPolyNote02,0001541B,clutter/books/note01/note02.nif,note02
HighPolyNote03,0001541C,clutter/books/note01/note03.nif,note03
HighPolyNote04,00015421,clutter/books/note01/note04.nif,note04
CaveIDirtMound08,00015423,dungeons/caves/ice/dirtmound/caveidirtmound08.nif,caveidirtmound08
CaveIDirtMound01,00015424,dungeons/caves/ice/dirtmound/caveidirtmound01.nif,caveidirtmound01
TundraStreamBend01,0001542A,landscape/tundra/tundrastreambend01.nif,tundrastreambend01
TundraStreamBend01Tundra01,0001542D,landscape/tundra/tundrastreambend01.nif,tundrastreambend01
HighPolyJournal02,0001542E,clutter/books/book01/character assets/journalbasic02.nif,journalbasic02
HighPolyJournal03,00015438,clutter/books/book01/character assets/journalbasic03.nif,journalbasic03
NorRmBgCorInL01,00016006,dungeons/nordic/bgrooms/norrmbgcorinl01.nif,norrmbgcorinl01
NorRmBgCorInR01,00016007,dungeons/nordic/bgrooms/norrmbgcorinr01.nif,norrmbgcorinr01
NorRmBgCorOutL01,00016008,dungeons/nordic/bgrooms/norrmbgcoroutl01.nif,norrmbgcoroutl01
NorRmBgCorOutR01,00016009,dungeons/nordic/bgrooms/norrmbgcoroutr01.nif,norrmbgcoroutr01
NorRmBgWallFront01,0001600A,dungeons/nordic/bgrooms/norrmbgwallfront01.nif,norrmbgwallfront01
NorRmBgWallFrontExSm01,0001600B,dungeons/nordic/bgrooms/norrmbgwallfrontexsm01.nif,norrmbgwallfrontexsm01
NorRmBgWallSide01,0001600C,dungeons/nordic/bgrooms/norrmbgwallside01.nif,norrmbgwallside01
NorRmBgWallSideExSm01,0001600D,dungeons/nordic/bgrooms/norrmbgwallsideexsm01.nif,norrmbgwallsideexsm01
NorPitWallSideToRmBgFrontR01,0001600E,dungeons/nordic/pits/norpitwallsidetormbgfrontr01.nif,norpitwallsidetormbgfrontr01
NorPitWallSideToRmBgFrontL01,0001600F,dungeons/nordic/pits/norpitwallsidetormbgfrontl01.nif,norpitwallsidetormbgfrontl01
NorPitWallFrontToRmBgSideR01,00016010,dungeons/nordic/pits/norpitwallfronttormbgsider01.nif,norpitwallfronttormbgsider01
NorPitWallFrontToRmBgSideL01,00016011,dungeons/nordic/pits/norpitwallfronttormbgsidel01.nif,norpitwallfronttormbgsidel01
NorPitCorOutL01,00016012,dungeons/nordic/pits/norpitcoroutl01.nif,norpitcoroutl01
NorPitCorOutR01,00016013,dungeons/nordic/pits/norpitcoroutr01.nif,norpitcoroutr01
NorRmBgMid02,0001601F,dungeons/nordic/bgrooms/norrmbgmid02.nif,norrmbgmid02
NorPitWallSideStairs01,0001605B,dungeons/nordic/pits/norpitwallsidestairs01.nif,norpitwallsidestairs01
TundraStreamStraight01,00016087,landscape/tundra/tundrastreamstraight01.nif,tundrastreamstraight01
TundraStreamStraight01Tundra01,0001608F,landscape/tundra/tundrastreamstraight01.nif,tundrastreamstraight01
NorPitWallFrontStairs01,0001657E,dungeons/nordic/pits/norpitwallfrontstairs01.nif,norpitwallfrontstairs01
SFarmhouseWindMillDirt02Whiterun,0001686D,architecture/whiterun/wrbuildings/wrfarmhousewindmill.nif,wrfarmhousewindmill
DirtCliffs03,00016D5F,landscape/dirtcliffs/dirtcliffs03.nif,dirtcliffs03
1stPersonSteelGreatSword,00016D6F,weapons/steel/1stpersonsteelgreatsword.nif,1stpersonsteelgreatsword
WRDrawbridgeSTATIC,00017052,architecture/whiterun/wrdrawbridge01.nif,wrdrawbridge01
RuinsPuzzlePillarBase,00017179,clutter/ruins/ruinspuzzlepillarbase01.nif,ruinspuzzlepillarbase01
TreePineForestCutLog01,000173FE,landscape/trees/treepineforestcutlog01.nif,treepineforestcutlog01
TreePineForestCutLog01A,000173FF,landscape/trees/treepineforestcutlog01a.nif,treepineforestcutlog01a
TreePineForestCutLog01B,00017400,landscape/trees/treepineforestcutlog01b.nif,treepineforestcutlog01b
TreePineForestCutLog02,00017401,landscape/trees/treepineforestcutlog02.nif,treepineforestcutlog02
TreePineForestCutLog02A,00017402,landscape/trees/treepineforestcutlog02a.nif,treepineforestcutlog02a
TreePineForestCutLog02B,00017403,landscape/trees/treepineforestcutlog02b.nif,treepineforestcutlog02b
TreePineForestCutLog03,00017404,landscape/trees/treepineforestcutlog03.nif,treepineforestcutlog03
TreePineForestCutLog03A,00017405,landscape/trees/treepineforestcutlog03a.nif,treepineforestcutlog03a
TreePineForestCutLog03B,00017406,landscape/trees/treepineforestcutlog03b.nif,treepineforestcutlog03b
SkyrimCloudDistant06,0001751E,sky/clouddistant06.nif,clouddistant06
SkyrimCloudDistant05,0001751F,sky/clouddistant05.nif,clouddistant05
SkyrimCloudDistant04,00017520,sky/clouddistant04.nif,clouddistant04
SkyrimCloudDistant03,00017521,sky/clouddistant03.nif,clouddistant03
FishRack01,0001769A,clutter/deadanimals/fishrack01.nif,fishrack01
StockadeScaffoldBridge04,00017AB6,clutter/stockade/stockadescaffoldbridge04.nif,stockadescaffoldbridge04
FXspiderWebWall01,00017BB6,effects/fxspiderwebwall01.nif,fxspiderwebwall01
FXSpiderwebCorner01,00017BB9,effects/fxspiderwebcorner04.nif,fxspiderwebcorner04
FXSpiderwebCorner03,00017BE2,effects/fxspiderwebcorner03.nif,fxspiderwebcorner03
TundraStreamStraight01Coast01,00017CD1,landscape/tundra/tundrastreamstraight01.nif,tundrastreamstraight01
TundraPond01Coast1,00017CD2,landscape/tundra/tundrapond01.nif,tundrapond01
TundraStreamBend01Coast01,00017CD3,landscape/tundra/tundrastreambend01.nif,tundrastreambend01
NorTowerRuins01,00017EDE,dungeons/nordic/exterior/towers/nortowerruins01.nif,nortowerruins01
RockCliff08,00017F19,landscape/rocks/rockcliff08.nif,rockcliff08
RockCaveEntrance01,00017F1A,landscape/rocks/rockcaveentrance01.nif,rockcaveentrance01
IcebergLarge_LightSN,000180E2,landscape/ice/iceberglarge.nif,iceberglarge
IcebergSmall02_HeavySN,000180E5,landscape/ice/icebergsmall02.nif,icebergsmall02
RoadChunkM03,00018127,landscape/roads/roadchunkm03.nif,roadchunkm03
RoadChunkL01,0001812A,landscape/roads/roadchunkl01.nif,roadchunkl01
RoadChunkL02,0001812D,landscape/roads/roadchunkl02.nif,roadchunkl02
RoadChunkL03,0001812F,landscape/roads/roadchunkl03.nif,roadchunkl03
RoadChunkM04,00018145,landscape/roads/roadchunkm04.nif,roadchunkm04
RoadChunkS01,0001814C,landscape/roads/roadchunks01.nif,roadchunks01
RoadChunkS02,0001814D,landscape/roads/roadchunks02.nif,roadchunks02
RoadChunkS03,0001814E,landscape/roads/roadchunks03.nif,roadchunks03
RoadChunkS04,0001814F,landscape/roads/roadchunks04.nif,roadchunks04
RockM01,00018195,landscape/rocks/rockm01.nif,rockm01
RockS01,00018198,landscape/rocks/rocks01.nif,rocks01
RockL01,00018199,landscape/rocks/rockl01.nif,rockl01
RockL02,0001819A,landscape/rocks/rockl02.nif,rockl02
RockM02,0001819B,landscape/rocks/rockm02.nif,rockm02
StockadeScaffoldTopRope01,000183C0,clutter/stockade/stockadescaffoldtoprope01.nif,stockadescaffoldtoprope01
StockadeScaffoldTopPost01,000183CC,clutter/stockade/stockadescaffoldtoppost01.nif,stockadescaffoldtoppost01
StockadeScaffoldTop0Sided02,000183CF,clutter/stockade/stockadescaffoldtop1sided02.nif,stockadescaffoldtop1sided02
StockadeScaffoldTopRope02,000183D8,clutter/stockade/stockadescaffoldtoprope02.nif,stockadescaffoldtoprope02
